,Accession_Method,Century,Culture,Date_Begin,Date_End,Date_Of_Last_Page_View,Edition,Object_ID,Period,Provenance,Rank,Signed,Style,Technique,Technique_ID,Title,Total_Page_Views,Date_Of_Last_Page_View_String
83,Transfer,19th-20th century,European,1890,1915,,,315392,,,8264,,,Gelatin silver print,123,"Untitled (landscape, on the road from Tristach, Lienz Dolomites, Austria, rach for drying hay to right, possibly a dog center, cow or calf to far right near road)",0,NaT
84,Purchase,19th century,British,1862,1888,2019-09-01,,317556,,"Seiden & de Cuevas, Inc., New York, NY, purchased from Christie's, 1978, Gift to the Fogg Art Museum, 1982. On Long Term Loan to the Fogg Art Museum from 1978 to 1982
",236686,,,Albumen silver print,110,"Untitled (watercolor drawing inscribed ""GAED 1868"" surround by painted ribbon motif with ovals (some w/photographs) incorporated; clockwise from top center, Earl and Countess of Fife; Lady A. Duff; Mr. A. Hope; Viscount Holmesdale; Lady Mary Filmer; Sir Edmund Filmer; Viscountess Holmesdale; Lady A. Duff; Lady A. Duff; verso: photograph, group of 12 unidentified people seated on steps in front of building, woman on far left holding dog)",32,09/01/2019
85,Transfer,20th century,American,1957,1957,2016-02-10,,318544,,,34575,,,"Negative, gelatin silver (film)",107,Untitled (dog looking at miniature trashcan),1,02/10/2016
86,Transfer,20th century,American,1945,1955,,,319495,,,34732,,,"Negative, gelatin silver (film)",107,"Untitled (dog dressed up in dress, paws on box)",0,NaT
87,Transfer,20th century,American,1945,1955,,,319497,,,34735,,,"Negative, gelatin silver (film)",107,Untitled (dog dressed up in skirt and hat),0,NaT
88,Transfer,20th century,American,1945,1955,2013-06-30,,127539,,,33755,,,"Negative, gelatin silver (film)",107,Untitled (man with tiny dog and woman at outdoor market),1,06/30/2013
89,Transfer,20th century,American,1945,1955,2015-06-11,,127654,,,33398,,,"Negative, gelatin silver (film)",107,"Untitled (dog wearing ""mascot' cape and hat standing on side of firetruck)",9,06/11/2015
90,Transfer,20th century,American,1945,1955,2014-09-18,,128097,,,33400,,,"Negative, gelatin silver (film)",107,"Untitled (man with dog on shoulders sliding down  fireman's pole, seen from below)",3,09/18/2014
91,Transfer,20th century,American,1945,1955,,,128146,,,32977,,,Gelatin silver print,123,Untitled (men and women with dog inside Valley Forge Inn and Bar),0,NaT
92,Transfer,20th century,American,1945,1955,,,128403,,,32890,,,Gelatin silver print,123,Untitled (four photographs: clown posing with children and dog; clown sitting with dog in driver's seat of coach; trapeze artists in mid-air),0,NaT
93,Transfer,20th century,American,1945,1955,2018-02-22,,128436,,,32907,,,Gelatin silver print,123,"Untitled (sign for the Dog Team Tavern near Middlebury, Vermont)",3,02/22/2018
94,Transfer,20th century,American,1945,1955,2012-11-27,,128686,,,32741,,,"Negative, gelatin silver (film)",107,"Untitled (woman sitting at table, painting of hunting dogs above her)",1,11/27/2012
95,Transfer,20th century,American,1937,1937,,,129073,,,32184,,,"Negative, gelatin silver (film)",107,Untitled (woman standing in doorway with two dogs),0,NaT
96,Transfer,20th century,American,1935,1945,,,129332,,,32027,,,Gelatin silver print,123,Untitled (woman in straw hat holding small dog in front of window),0,NaT
97,Transfer,20th century,American,1929,1929,,,129378,,,32108,,,"Negative, gelatin silver (film)",107,Untitled (dog on hind legs to get treat held by seated little girl),0,NaT
98,Transfer,20th century,American,1954,1954,2012-12-30,,129416,,,32093,,,"Negative, gelatin silver (film)",107,Untitled (woman seated with her dog),1,12/30/2012
